requestedUrl,finalUrl,category,name,title,type,score
"https://localhost:8080/","https://localhost:8080/","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","0.92"
"https://localhost:8080/","https://localhost:8080/","Best Practices","is-on-https","Uses HTTPS","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","no-vulnerable-libraries","Avoids front-end JavaScript libraries with known security vulnerabilities","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","csp-xss","Ensure CSP is effective against XSS attacks","informative","-1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","password-inputs-can-be-pasted-into","Allows users to paste into password fields","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","image-aspect-ratio","Displays images with correct aspect ratio","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","image-size-responsive","Serves images with low resolution","binary","0"
"https://localhost:8080/","https://localhost:8080/","Best Practices","preload-fonts","Fonts with `font-display: optional` are preloaded","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","doctype","Page has the HTML doctype","binary","1"
"https://localhost:8080/","https://localhost:8080/","Best Practices","charset","Properly defines charset","binary","1"
